date,Adj Close,21dma,200dma,audchf_signal
2015-01-01,0.8118500113487244,,,
2015-01-02,0.8130499720573425,,,
2015-01-05,0.8111000061035156,,,
2015-01-06,0.8149200081825256,,,
2015-01-07,0.8169000148773193,,,
2015-01-08,0.8191999793052673,,,
2015-01-09,0.8261100053787231,,,
2015-01-12,0.8317599892616272,,,
2015-01-13,0.8270000219345093,,,
2015-01-14,0.8324000239372253,,,
2015-01-15,0.8296599984169006,,,
2015-01-16,0.7023699879646301,,,
2015-01-19,0.7060700058937073,,,
2015-01-20,0.720770001411438,,,
2015-01-21,0.7135000228881836,,,
2015-01-22,0.6968700289726257,,,
2015-01-23,0.6985999941825867,,,
2015-01-26,0.6933000087738037,,,
2015-01-27,0.7134199738502502,,,
2015-01-28,0.7121000289916992,,,
2015-01-29,0.715499997138977,0.7669738133748373,,
2015-01-30,0.7175999879837036,0.7624857170241219,,
2015-02-02,0.7167699933052063,0.7579009561311632,,
2015-02-03,0.7228000164031982,0.7536961947168622,,
2015-02-04,0.7177000045776367,0.7490666707356771,,
2015-02-05,0.7184200286865234,0.7443771475837344,,
2015-02-06,0.7188000082969666,0.7395961965833392,,
2015-02-09,0.7185999751091003,0.7344766713324047,,
2015-02-10,0.7210100293159485,0.7292028637159438,,
2015-02-11,0.7210000157356262,0.7241552443731398,,
2015-02-12,0.7170699834823608,0.718663337684813,,
2015-02-13,0.7211999893188477,0.7134985753468105,,
2015-02-16,0.7233999967575073,0.7145000043369475,,
2015-02-17,0.7231600284576416,0.71531381493523,,
2015-02-18,0.7311999797821045,0.7158104805719285,,
2015-02-19,0.7353299856185913,0.7168500026067098,,
2015-02-20,0.7401700019836426,0.7189119060834249,,
2015-02-23,0.7376000285148621,0.720769050575438,,
2015-02-24,0.741100013256073,0.7230452412650699,,
2015-02-25,0.7440999746322632,0.724506193683261,,
2015-02-26,0.7476999759674072,0.7262014292535328,,
2015-02-27,0.7433000206947327,0.7275252398990449,,
2015-03-02,0.7425000071525574,0.7287109550975618,,
2015-03-03,0.7432000041007996,0.7299695270402091,,
2015-03-04,0.7511900067329407,0.7313214313416254,,
2015-03-05,0.7533000111579895,0.7330166697502136,,
2015-03-06,0.7579399943351746,0.7348985728763399,,
2015-03-09,0.7598999738693237,0.7368557140940711,,
2015-03-10,0.7583000063896179,0.7387461917740958,,
2015-03-11,0.7625600099563599,0.7407247622807821,,
2015-03-12,0.7669000029563904,0.7429104759579613,,
2015-03-13,0.772570013999939,0.7455533345540365,,
2015-03-16,0.7663999795913696,0.7477057150432042,,
2015-03-17,0.7699000239372253,0.7499200020517621,,
2015-03-18,0.7664099931716919,0.7519795241810027,,
2015-03-19,0.7627999782562256,0.7534842860131037,,
2015-03-20,0.7576000094413757,0.7545447633379981,,
2015-03-23,0.7609000205993652,0.755531907081604,,
2015-03-24,0.7603999972343445,0.7566176198777699,,
2015-03-25,0.7541999816894531,0.757241427898407,,
2015-03-26,0.7518100142478943,0.7576085726420084,,
2015-03-27,0.7541999816894531,0.7579180967240107,,
2015-03-29,0.7435200214385986,0.757928572949909,,
2015-03-30,0.7407000064849854,0.7578428586324056,,
2015-03-31,0.7400400042533875,0.7576923824491955,,
2015-04-01,0.7347000241279602,0.7569071451822916,,
2015-04-02,0.7274900078773499,0.7556780974070231,,
2015-04-05,0.7276099920272827,0.7542338115828378,,
2015-04-06,0.7266200184822083,0.752649051802499,,
2015-04-07,0.737500011920929,0.7516585758754185,,
2015-04-08,0.742389976978302,0.7506980981145587,,
2015-04-09,0.7523000240325928,0.7500028610229492,,
2015-04-12,0.7508500218391418,0.7489685756819588,,
2015-04-13,0.7411999702453613,0.7477685752369109,,
2015-04-14,0.7406499981880188,0.746375716867901,,
2015-04-15,0.7407500147819519,0.7451538131350562,,
2015-04-16,0.7448899745941162,0.744300955817813,,
2015-04-19,0.7428100109100342,0.7435966701734633,,
2015-04-20,0.7376899719238281,0.7424914297603425,,
2015-04-21,0.7364000082015991,0.7413485731397357,,
2015-04-22,0.7511000037193298,0.7412009551411584,,
2015-04-23,0.7429400086402893,0.7407785739217486,,
2015-04-26,0.7466099858283997,0.7404171455474127,,
2015-04-27,0.7513899803161621,0.7407919054939633,,
2015-04-28,0.7642999887466431,0.7419157141730899,,
2015-04-29,0.7515000104904175,0.7424614287558056,,
2015-04-30,0.7372400164604187,0.742582380771637,,
2015-05-03,0.7306100130081177,0.7427309524445307,,
2015-05-04,0.7315999865531921,0.7429209521838597,,
2015-05-05,0.7353900074958801,0.7433385707083202,,
2015-05-06,0.7291799783706665,0.7429423786344982,,
2015-05-07,0.72816002368927,0.742264761811211,,
2015-05-10,0.7381899952888489,0.7415928556805566,,
2015-05-11,0.7379000186920166,0.7409761888640267,,
2015-05-12,0.7417200207710266,0.7410009531747728,,
2015-05-13,0.7437000274658203,0.7411461926641918,,
2015-05-14,0.7378699779510498,0.7410090480531965,,
2015-05-17,0.7367299795150757,0.7406204768589565,,
2015-05-18,0.7401999831199646,0.7404961898213341,,
2015-05-19,0.7419999837875366,0.7407014284815107,,
2015-05-20,0.7371000051498413,0.7407347616695222,,
2015-05-21,0.7401099801063538,0.7402114272117615,,
2015-05-24,0.7365999817848206,0.7399095211710248,,
2015-05-25,0.739799976348877,0.7395852350053334,,
2015-05-26,0.7368000149726868,0.7388904747508821,,
2015-05-27,0.7345700263977051,0.7374747622580755,,
2015-05-28,0.7220600247383118,0.736072858174642,,
2015-05-31,0.7192999720573425,0.735218570345924,,
2015-06-01,0.7202200293540955,0.7347238092195421,,
2015-06-02,0.7244899868965149,0.7343852378073192,,
2015-06-03,0.7263699769973755,0.7339557125454858,,
2015-06-04,0.7182999849319458,0.7334376176198324,,
2015-06-07,0.7166100144386292,0.7328876171793256,,
2015-06-08,0.7125999927520752,0.7316690456299555,,
