date,qGrowth,qLV,qMO,qQuality,qSentiment,qValue
2016-02-29,,,,,,
2016-03-31,,,,,,
2016-04-30,,,,,,
2016-05-31,,,,,,
2016-06-30,,,,,,
2016-07-31,,,,,,
2016-08-31,,,,,,
2016-09-30,,,,,,
2016-10-31,,,,,,
2016-11-30,,,,,,
2016-12-31,,,,,,
2017-01-31,,,,,1.0,
2017-02-28,,,,2.0,1.0,3.0
2017-03-31,,,,2.0,1.0,3.0
2017-04-30,,,,2.0,1.0,3.0
2017-05-31,,,,2.0,1.0,3.0
2017-06-30,,,,2.0,1.0,3.0
2017-07-31,,,,2.0,1.0,3.0
2017-08-31,,,,2.0,1.0,3.0
2017-09-30,,3.0,,2.0,1.0,4.0
2017-10-31,,3.0,,2.0,1.0,4.0
2017-11-30,,5.0,1.0,3.0,2.0,4.0
2017-12-31,,5.0,1.5,1.5,3.0,4.0
2018-01-31,,5.0,2.0,1.0,3.0,4.0
2018-02-28,2.0,5.0,1.0,3.0,4.0,6.0
2018-03-31,2.5,5.5,1.0,4.0,2.5,5.5
2018-04-30,2.0,6.0,1.0,3.0,4.0,5.0
2018-05-31,4.0,6.0,2.0,3.0,1.0,5.0
2018-06-30,4.0,6.0,3.0,2.0,1.0,5.0
2018-07-31,3.0,5.0,1.0,2.0,4.0,6.0
2018-08-31,3.0,5.0,1.0,2.0,4.0,6.0
2018-09-30,6.0,1.5,3.0,4.0,1.5,5.0
2018-10-31,6.0,1.0,2.0,4.0,3.0,5.0
2018-11-30,6.0,1.0,2.0,3.0,4.0,5.0
2018-12-31,5.0,1.0,4.0,3.0,2.0,6.0
2019-01-31,5.0,3.0,4.0,1.0,2.0,6.0
2019-02-28,5.0,2.0,4.0,1.0,3.0,6.0
2019-03-31,4.0,2.0,5.0,1.0,3.0,6.0
2019-04-30,4.0,1.0,2.0,3.0,5.0,6.0
2019-05-31,1.0,2.0,3.0,4.0,5.0,6.0
2019-06-30,2.0,3.0,1.0,4.0,5.0,6.0
2019-07-31,3.0,2.0,1.0,4.0,5.0,6.0
2019-08-31,4.0,1.0,2.0,3.0,5.0,6.0
2019-09-30,4.0,1.0,2.0,3.0,5.0,6.0
2019-10-31,1.0,4.0,3.0,2.0,5.0,6.0
2019-11-30,3.0,4.0,6.0,1.0,5.0,2.0
2019-12-31,1.0,3.0,5.0,2.0,4.0,6.0
2020-01-31,1.0,4.0,3.0,2.0,5.0,6.0
2020-02-29,2.0,3.0,4.0,1.0,5.0,6.0
2020-03-31,2.0,5.0,4.0,1.0,3.0,6.0
2020-04-30,2.0,5.0,3.0,1.0,4.0,6.0
2020-05-31,2.0,5.0,3.0,1.0,4.0,6.0
2020-06-30,1.0,5.0,2.0,3.0,4.0,6.0
2020-07-31,2.0,5.0,1.0,3.0,4.0,6.0
2020-08-31,2.0,5.0,1.0,3.0,4.0,6.0
2020-09-30,2.0,5.0,1.0,4.0,3.0,6.0
2020-10-31,3.0,6.0,2.0,5.0,1.0,4.0
2020-11-30,4.0,6.0,2.0,5.0,1.0,3.0
2020-12-31,4.0,6.0,1.0,5.0,2.0,3.0
2021-01-31,4.0,6.0,1.0,5.0,2.0,3.0
2021-02-28,4.0,6.0,1.0,5.0,2.0,3.0
2021-03-31,4.0,5.0,1.0,6.0,2.0,3.0
2021-04-30,4.0,5.0,3.0,6.0,1.0,2.0
2021-05-31,5.0,6.0,2.0,4.0,1.0,3.0
2021-06-30,6.0,5.0,3.0,4.0,2.0,1.0
2021-07-31,6.0,5.0,4.0,3.0,1.0,2.0
2021-08-31,6.0,5.0,4.0,3.0,1.0,2.0
2021-09-30,6.0,5.0,4.0,3.0,1.0,2.0
2021-10-31,6.0,4.0,5.0,1.0,2.0,3.0
2021-11-30,6.0,1.0,5.0,2.0,3.0,4.0
2021-12-31,6.0,1.0,5.0,4.0,3.0,2.0
2022-01-31,6.0,2.0,5.0,4.0,3.0,1.0
2022-02-28,6.0,2.0,4.0,5.0,3.0,1.0
2022-03-31,6.0,2.0,4.0,5.0,3.0,1.0
2022-04-30,6.0,1.0,4.0,5.0,3.0,2.0
2022-05-31,6.0,1.0,3.0,5.0,4.0,2.0
2022-06-30,6.0,1.0,4.0,5.0,3.0,2.0
2022-07-31,5.0,1.0,4.0,6.0,2.0,3.0
2022-08-31,6.0,1.0,4.0,5.0,2.0,3.0
2022-09-30,4.0,2.0,5.0,6.0,3.0,1.0
2022-10-31,4.0,2.0,5.0,3.0,6.0,1.0
2022-11-30,5.0,2.0,4.0,3.0,6.0,1.0
